People_name,Country,Organization Name,Organization URL
Maryann Schacht,United States,Schacht Spindle Co Inc,http://www.schachtspindle.com
Zachary Robinson,United States,Short Path Distillery,http://www.shortpathdistillery.com
Patrick Mateer,United States,Seal the Seasons,http://www.sealtheseasons.com
Rishabh Kewalramani,United States,Sidework,http://www.sidework.co
Heather Holmes,United States,Charleston Artisan Cheesehouse,http://www.charlestoncheesehouse.com
Cameron Ahouse,United States,Spirited Hive,http://www.spiritedhive.com
Adam Elghor,United States,Sidework,http://www.sidework.co
Tim Hall,United States,Spiritless,http://www.spiritless.com
Chris Merton,United States,Black River Roasters,http://www.blackriverroasters.com
Tom Santangelo,United States,Spiritless,http://www.spiritless.com
Philip Parda,United States,Savvy Tea Gourmet,http://www.savvyteagourmet.com
Doug Chapin,United States,"See Rock City, Inc.",http://www.seerockcity.com
Wendy Lieu,United States,Socola Chocolatier,http://www.socola-chocolates.myshopify.com
Kevin Monpara,United States,Sidework,http://www.sidework.co
Jamie Rennick,United States,"See Rock City, Inc.",http://www.seerockcity.com
Melanie H,United States,Sensitive Sweets,http://www.sensitivesweets.com
John Espy,United States,Spirited Hive,http://www.spiritedhive.com
Hannah G.,United States,Sow True Seed,http://www.sowtrueseed.com
Sonia Terboss,United States,Spajuicebar,
Luis Manta,United States,Seoul Juice,http://www.seouljuice.com
Abbey Ferguson,United States,Spiritless,http://www.spiritless.com
Brian Kaplan,United States,Sidework,http://www.sidework.co
Amy Hansen,United States,Amy's Candy Bar,http://www.amyscandybar.com
Winston Taira,United States,Shaka Tea,http://www.shakatea.com
James Mayo,United States,SOS Hydration Inc,http://www.soshydration.com
Jessica Little,United States,Sweet Grass Dairy,http://www.sweetgrassdairy.com
Jeremy Little,United States,Sweet Grass Dairy,http://www.sweetgrassdairy.com
Frann Edley,United States,Sugar Plum Chocolates,http://www.sugar-plum.com
Alex C.,United States,TEAONIC,http://www.teaonic.com
Rachel Blanchard,United States,Sugar Plum Chocolates,http://www.sugar-plum.com
Crystal Tenpenny,United States,Teamotions,http://www.teamotionstea.com
Lisa Parady,United States,Swoon,http://www.tasteswoon.com
Josh Kingdon,United States,Sweetpotato Awesome,http://www.sweetpotatoawesome.com
Nadia Lizarazu,United States,Susosu Water,http://www.susosuwater.com
Lindsay Borkowski,United States,Sunriver Resort,http://www.sunriverresort.com
Jessica Chep,United States,Swoon,http://www.tasteswoon.com
David Alphen,United States,SuckerPunch,http://www.suckerpunchpickles.com
Charlotte Cain,United States,"Sunshine Beverages, LLC",http://www.drinkthesunshine.com
Ryan Rosmarin,United States,Sun Valley Mustard,http://www.sunvalleymustard.com
Gabriella Bowers,United States,Sunriver Resort,http://www.sunriverresort.com
Jennifer Ross,United States,Swoon,http://www.tasteswoon.com
Claire Abrahamson,United States,Terlato Kitchen,http://www.terlatokitchen.com
Cristina Blankfein,United States,Swoon,http://www.tasteswoon.com
Bruce Schlee,United States,Strike Force Beverage,http://www.strikeforceenergy.com
Heidi Venter,United States,Swoon,http://www.tasteswoon.com
Suzi Moskiewicz,United States,Summer Snow,http://www.summersnowart.com
Zoe Dockser,United States,Swoon,http://www.tasteswoon.com
Jheen Oh,United States,Susosu Water,http://www.susosuwater.com
Ashley Pierson,United States,Sunriver Resort,http://www.sunriverresort.com
Matt Fuller,United States,"Sunshine Beverages, LLC",http://www.drinkthesunshine.com
Natasha Charles,United States,The Island Company Lifestyle,http://www.islandcompanyrum.com
Mary O'Donnell,United States,"Terrapin Ridge Farms, LLC",http://www.terrapinridge.com
Harrison Fugman,United States,The Naked Market,http://www.thenakedmarket.com
Joanie Hausleiter,United States,The Hungry Puppy,http://www.thehungrypuppy.com
Justin Nadeau,United States,The Cookie Department®,http://www.thecookiedepartment.com
Alexander Kost,United States,The Naked Market,http://www.thenakedmarket.com
Frank Frattini,United States,The Hungry Puppy,http://www.thehungrypuppy.com
Clare O'Donnell,United States,"Terrapin Ridge Farms, LLC",http://www.terrapinridge.com
Philip Gaven,United States,The Honey Exchange,http://www.thehoneyexchange.com
Tony Fragogiannis,United States,The Brooklyn Hot Dog Company,http://www.brooklynhotdogcompany.com
Jennie Hales,United States,The Truffle Cottage,http://www.thetrufflecottage.com
Akiva Resnikoff,United States,The Cookie Department®,http://www.thecookiedepartment.com
John Buona,United States,The Buona Companies,http://www.buona.com
Mathias Bonse,United States,The San Francisco Chocolate Factory,http://www.sfchocolate.com
Jon Payson,United States,The Chocolate Room Brooklyn,http://www.thechocolateroombrooklyn.com
Mark Pappas,United States,"Terrapin Ridge Farms, LLC",http://www.terrapinridge.com
Andrew Regalado,United States,The Buona Companies,http://www.buona.com
Lisa Gross,United States,The League of Kitchens,http://www.leagueofkitchens.com
Tamara Sloan,United States,The Mill Coffee & Tea,http://www.millcoffee.com
Wolfe Peter,United States,The Maté Factor,http://www.matefactor.com
Julie Atlan,United States,Thierry atlan LLC,http://www.thierry-atlan.com
Andy Sheldon,United States,The Cookie Department®,http://www.thecookiedepartment.com
Jessica Kopp,United States,"Terrapin Ridge Farms, LLC",http://www.terrapinridge.com
Daniel Sloan,United States,The Mill Coffee & Tea,http://www.millcoffee.com
Heather Allen,United States,"Terrapin Ridge Farms, LLC",http://www.terrapinridge.com
Andy Hicks,United States,Torani (R. Torre & Co.),http://www.torani.com
Ashley Ciotto,United States,Uncle Matt's Organic,http://www.unclematts.com
John Powell,United States,Torani (R. Torre & Co.),http://www.torani.com
Dean Veurink,United States,Torani (R. Torre & Co.),http://www.torani.com
Asher Hojem,United States,Ultimate Performance Products,http://www.sportea.com
Matt McLean,United States,Uncle Matt's Organic,http://www.unclematts.com
Diane Just,United States,True Story Foods,http://www.truestoryfoods.com
Thomas Anthony,United States,Torani (R. Torre & Co.),http://www.torani.com
Alaynah Carter,United States,Uncle Matt's Organic,http://www.unclematts.com
Sofia Laurell,United States,Tiny Organics,http://www.tinyorganics.com
Tally Burke,United States,Torani (R. Torre & Co.),http://www.torani.com
Brooke Tedrick,United States,Vivazen,http://www.vivazen.com
Dana Amaku,United States,Torani (R. Torre & Co.),http://www.torani.com
Susan McLean,United States,Uncle Matt's Organic,http://www.unclematts.com
Jason Prziborowski,United States,Torani (R. Torre & Co.),http://www.torani.com
Melanie Dulbecco,United States,Torani (R. Torre & Co.),http://www.torani.com
Nathaniel F.,United States,Vivazen,http://www.vivazen.com
Carolyn Batyske,United States,Tiny Organics,http://www.tinyorganics.com
Cesar Abella,United States,Torani (R. Torre & Co.),http://www.torani.com
Mary Nicley,United States,True Nature Dog Treats,http://www.truenaturedogtreats.com
Caleb Weidenaar,United States,UNITY,http://www.idrinkunity.com
Natalie Gershon,United States,Vivazen,http://www.vivazen.com
Jasmine C.,United States,Torani (R. Torre & Co.),http://www.torani.com
Colin Harter,United States,True Story Foods,http://www.truestoryfoods.com
Taylor Lee,United States,Torani (R. Torre & Co.),http://www.torani.com
Grace Uvezian,United States,Voyage Foods,http://www.voyagefoods.com
Julie Labin,United States,Zuma Valley,http://www.zumavalley.com
John Houlihan,United States,Wilmar Chocolates,http://www.wilmarchocolates.com
Namrata Shah,United States,Xocolatti,http://www.xocolatti.com
Katie Burger,United States,Voyage Foods,http://www.voyagefoods.com
Brad White,United States,White's Elixirs,http://www.whiteselixirs.com
Brian Kyzer,United States,Watanut,http://www.watanut.com
Paul Garvey,United States,Wilmar Chocolates,http://www.wilmarchocolates.com
Mary Szuter,United States,Wolf's Ridge Brewing,http://www.wolfsridgebrewing.com
Justin Polgar,United States,YES Cacao,http://www.yes-cacao.myshopify.com
Darian Bregman,United States,Vuka Sparkling Energy Drinks,http://www.vuka.com
John Louizes,United States,Zeno's Boardwalk Sweet Shop,http://www.worldsmostfamoustaffy.com
Nathaniel Cotanch,United States,Zia Hatch Chile Company,http://www.ziahatchchileco.com
James Wood,United States,Woodies Goodies,http://www.woodiesgoodies.com
Bob Szuter,United States,Wolf's Ridge Brewing,http://www.wolfsridgebrewing.com
